Código,Localização,Categoria,Comissão,Endereço,Cama Casal,Cama Solteiro,Cama Queen,Cama King,Sofá Cama Solteiro,Travesseiros,Banheiros,Taxa de Limpeza,Capacidade,Hotel,Data Inicial do contrato,Status,Tipo
ADJ205,JUR,SIM2Q,0.2,"Av dos Búzios, 470 Apto 205 Jurerê Florianópolis",1,2,0,0,0,4,2.00,295.00,4,Não,25/10/2019,Ativo,Apartamento
AYA201,JUR,JR3Q,0.2,"R Prof Manoel do Lago Almeida, 140 Apto 201 Jurerê Florianópolis",3,0,0,0,0,6,2.00,314.00,6,Não,25/10/2019,Ativo,Apartamento
BEL102,JUR,SUP2Q,0.2,"Rodovia Maurício Sirotsky Sobrinho, 5145 apto 102 Jurerê Florianópolis",0,2,1,0,0,4,2.00,252.00,4,Não,01/12/2019,Inativo,Apartamento
CCA201,CAN,SUP3Q,0.2,"Rua Prof Teodosio Mauricio Wanderley, 120 Apto 201 Canasvieiras Florianópolis",1,4,0,0,0,6,2.00,354.00,6,Não,25/11/2019,Ativo,Apartamento
CDC301,JUR,TOP3Q,0.2,"Av. Dourados, 910, Ap 301, Jurerê",3,0,0,0,0,6,2.00,314.00,6,Não,01/12/2019,Inativo,Apartamento
CDS106,JUR,SUP2Q,0.2,Av dos Salmões 844 Apto 106 Jurerê Florianópolis,1,2,0,0,0,4,2.00,253.00,4,Não,05/02/2020,Ativo,Apartamento
CDS208,JUR,JR2Q,0.2,Av dos Salmões 844 Apto 208 Jurerê Florianópolis,1,2,0,0,1,5,2.00,291.00,5,Não,01/09/2019,Inativo,Apartamento
CDS209,JUR,SUP2Q,0.2,Av dos Salmões 844 Apto 209 Jurerê Florianópolis,1,2,0,0,0,4,1.00,255.00,4,Não,01/11/2019,Inativo,Apartamento
CHR101,JUR,SUP2Q,0.2,"Rua dos Chernes, 525 Apto 101 Jurerê Florianópolis",1,2,0,0,1,5,2.00,281.00,5,Não,01/10/2019,Ativo,Apartamento
CPJ102,JUR,TOP3Q,0.2,"Condomínio Portal do Jurerê, Apto 102 Av. das Raias 961 Jurerê",2,2,0,0,0,6,3.00,0.00,6,Não,26/12/2019,Inativo,Apartamento
CPS107,JUR,SUP2Q,0.2,"Rua dos Chernes, 181, apto 107 Jurerê Florianópolis",2,0,0,0,0,4,2.00,285.00,4,Não,07/01/2020,Ativo,Apartamento
CVJ302,JUR,MASTER3Q,0.2,"Rua Deputado Paulo Preis, 565 Apto 302 Jurerê Florianópolis",1,3,0,0,0,5,4.00,330.00,5,Não,20/01/2020,Ativo,Apartamento
ECB107,JUR,SUP3Q,0.2,"Edifício Costa Bella, Apto 106 Av. das Raias, 601 Jurerê",1,4,0,0,0,6,2.00,0.00,6,Não,06/01/2020,Inativo,Apartamento
EDH208,JUR,SUP2Q,0.2,"Rua Deputado Paulo Preis, 590.Apto 208 Jurerê Florianópolis",2,0,0,0,0,4,2.00,248.00,4,Não,28/12/2019,Inativo,Apartamento
EVM102,JUR,JR3Q,0.2,"Rua dos Cambuatas,104 Apto 102 Jurerê Florianópolis",1,2,0,0,2,6,2.00,342.00,6,Não,01/12/2019,Ativo,Apartamento
ILC1110,ILC,TOP,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 1, ap 110",0,0,0,0,0,0,0.00,0.00,4,Sim,01/06/2019,Ativo,Dentro do Hotel
ILC1111,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 1, ap 111",0,0,0,0,0,0,0.00,0.00,4,Sim,01/06/2019,Ativo,Dentro do Hotel
ILC1112,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 1, ap 112",0,0,0,0,0,0,0.00,0.00,4,Sim,01/06/2019,Ativo,Dentro do Hotel
ILC1205,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 1, ap 205",0,0,0,0,0,0,0.00,0.00,4,Sim,01/03/2020,Inativo,Dentro do Hotel
ILC1206,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 1, ap 206",0,0,0,0,0,0,0.00,0.00,4,Sim,01/08/2019,Ativo,Dentro do Hotel
ILC1211,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 1, ap 211",0,0,0,0,0,0,0.00,0.00,4,Sim,01/01/2019,Ativo,Dentro do Hotel
ILC1213,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 1, ap 213",0,0,0,0,0,0,0.00,0.00,4,Sim,01/06/2019,Ativo,Dentro do Hotel
ILC1314,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 1, ap 314",0,0,0,0,0,0,0.00,0.00,4,Sim,01/06/2019,Inativo,Dentro do Hotel
ILC1403,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 1, ap 403",0,0,1,0,0,4,1.00,0.00,4,Sim,20/07/2020,Inativo,Dentro do Hotel
ILC1404,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 1, ap 404",0,0,0,0,0,0,0.00,0.00,4,Sim,01/12/2018,Ativo,Dentro do Hotel
ILC1413,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 1, ap 413",0,0,1,0,0,4,1.00,0.00,4,Sim,05/08/2020,Ativo,Dentro do Hotel
ILC1506,ILC,TOP,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 1, ap 506",0,0,0,0,0,0,0.00,0.00,4,Sim,20/02/2020,Ativo,Dentro do Hotel
ILC2203,ILC,JR,0.05,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 2, ap 203",0,0,0,0,0,0,0.00,0.00,4,Sim,01/03/2019,Ativo,Dentro do Hotel
ILC2206,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 2, ap 206",0,0,0,0,0,0,0.00,0.00,4,Sim,01/03/2019,Ativo,Dentro do Hotel
ILC2301,ILC,TOP,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 2, ap 301",0,0,0,0,0,0,0.00,0.00,4,Sim,01/07/2019,Ativo,Dentro do Hotel
ILC2303,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 2, ap 303",0,0,0,0,0,0,0.00,0.00,4,Sim,01/01/2019,Ativo,Dentro do Hotel
ILCO2307,ILC,TOP,0,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 2, ap 307",0,0,0,0,0,0,0.00,0.00,4,Sim,01/12/2018,Inativo,Dentro do Hotel
ILC2313,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 2, ap 313",0,0,0,0,0,0,1.00,0.00,4,Sim,01/12/2018,Inativo,Dentro do Hotel
ILC2412,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 2, ap 412",0,0,0,0,0,0,0.00,0.00,4,Sim,01/12/2018,Ativo,Dentro do Hotel
ILC2413,ILC,JR,0,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 2, ap 413",0,0,0,0,0,0,0.00,0.00,4,Sim,01/12/2018,Ativo,Dentro do Hotel
ILC3104,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 3, ap 104",0,0,0,0,0,0,0.00,0.00,4,Sim,01/03/2019,Ativo,Dentro do Hotel
ILC3105,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 3, ap 105",0,0,1,0,0,4,1.00,0.00,4,Sim,29/07/2020,Ativo,Dentro do Hotel
ILC3111,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 3, ap 111",0,0,1,0,0,4,1.00,0.00,4,Sim,20/08/2020,Ativo,Dentro do Hotel
ILC3310,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 3, ap 310",0,0,0,0,0,0,0.00,0.00,4,Sim,06/05/2019,Inativo,Dentro do Hotel
ILC3312,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 3, ap 312",0,0,0,0,0,0,0.00,0.00,4,Sim,01/03/2019,Ativo,Dentro do Hotel
ILC3412,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 3, ap 412",0,0,0,0,0,0,0.00,0.00,4,Sim,01/04/2020,Ativo,Dentro do Hotel
ILC3413,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 3, ap 413",0,0,0,0,0,0,0.00,0.00,4,Sim,01/05/2019,Ativo,Dentro do Hotel
ILC3415,ILC,TOP,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 3, ap 415",0,0,0,0,0,0,0.00,0.00,4,Sim,01/05/2019,Ativo,Dentro do Hotel
ILC4110,ILC,TOP,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 4, ap 110",0,0,1,0,0,4,1.00,0.00,4,Sim,20/08/2020,Ativo,Dentro do Hotel
ILC4310,ILC,TOP,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 4, ap 310",0,0,0,0,0,0,0.00,0.00,4,Sim,01/01/2020,Ativo,Dentro do Hotel
ILC4313,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 4, ap 313",0,0,0,0,0,0,0.00,0.00,4,Sim,01/01/2020,Ativo,Dentro do Hotel
ILC4403,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 4, ap 403",0,0,0,0,0,0,0.00,0.00,4,Sim,06/09/2019,Inativo,Dentro do Hotel
ILC4404,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 4, ap 404",0,0,0,0,0,0,0.00,0.00,4,Sim,01/01/2020,Ativo,Dentro do Hotel
ILC4406,ILC,JR,0.05,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 4, ap 406",0,0,0,0,0,0,0.00,0.00,4,Sim,01/01/2020,Ativo,Dentro do Hotel
ILC4409,ILC,TOP,0.05,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 4, ap 409",0,0,0,0,0,0,0.00,0.00,4,Sim,21/12/2019,Inativo,Dentro do Hotel
ILC4410,ILC,TOP,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 4, ap 410",0,0,0,0,0,0,0.00,0.00,4,Sim,01/03/2019,Inativo,Dentro do Hotel
ILC4411,ILC,JR,0.05,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 4, ap 411",0,0,0,0,0,0,0.00,0.00,4,Sim,15/11/2019,Inativo,Dentro do Hotel
ILC4501,ILC,MASTER,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 4, ap 501",0,0,0,0,0,0,0.00,0.00,4,Sim,01/09/2019,Ativo,Dentro do Hotel
ILCO4502,ILC,MASTER,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 4, ap 502",0,0,0,0,0,0,0.00,0.00,4,Sim,01/11/2019,Inativo,Dentro do Hotel
JBA104,JUR,JR1Q,0.15,"Res, Jurerê Beach I, Apto 104 Av dos Búzios, 130 Jurerê, Florianópolis",1,0,0,0,2,4,1.00,198.00,4,Não,03/05/2020,Ativo,Apartamento
JBA202,JUR,JR2Q,0.2,"Res, Jurerê Beach I, Apto 202, Av dos Búzios, 130 Jurerê, Florianópolis",2,1,0,0,0,5,1.00,246.00,5,Não,03/05/2020,Ativo,Apartamento
JBM201,JUR,TOP1Q,0.2,"Rua Haroldo Callado, 205, apto 201, Jurerê, Florianópolis",1,0,0,0,0,4,1.00,198.00,4,Não,03/05/2020,Ativo,Apartamento
JBM202,JUR,TOP1Q,0.2,"Rua Jornalista Haroldo Callado 305 apto 202, Jurerê CEP 88053-600",1,0,0,0,0,4,1.00,198.00,4,Não,17/07/2020,Ativo,Apartamento
JBM302,JUR,TOP1Q,0.2,"Rua Haroldo Callado, 305, apto 302, Jurerê, Florianópolis",1,0,0,0,2,4,1.00,211.00,4,Não,03/05/2020,Ativo,Apartamento
JBM303,JUR,MASTER1Q,0.2,"Rua Haroldo Callado, 305, apto 303, Jurerê, Florianópolis",1,0,0,0,1,3,1.00,211.00,3,Não,03/05/2020,Ativo,Apartamento
JBV122,JBV,TOP,0.1,"Alameda César Nascimento, 646, apto 122 - Jurerê, Florianópolis - SC, 88053-500",0,0,0,0,0,0,0.00,0.00,4,Sim,06/12/2019,Ativo,Dentro do Hotel
JBV124,JBV,JR,0.1,"Alameda César Nascimento, 646, apto 124 - Jurerê, Florianópolis - SC, 88053-500",0,0,1,0,0,3,1.00,0.00,3,Sim,20/07/2020,Ativo,Dentro do Hotel
JBV134,JBV,JR,0.1,"Alameda César Nascimento, 646, apto 134 - Jurerê, Florianópolis - SC, 88053-500",0,0,0,0,0,0,0.00,0.00,4,Sim,01/08/2019,Ativo,Dentro do Hotel
JBVO242,JBV,TOP,0,"Alameda César Nascimento, 646, apto 242 - Jurerê, Florianópolis - SC, 88053-500",0,0,0,0,0,0,0.00,0.00,4,Sim,01/03/2020,Inativo,Dentro do Hotel
JBV259,JBV,SUP,0.1,"Alameda César Nascimento, 646, apto 259 - Jurerê, Florianópolis - SC, 88053-500",0,0,0,0,0,0,0.00,0.00,4,Sim,16/12/2019,Ativo,Dentro do Hotel
JBV265,JBV,JR,0.1,"Alameda César Nascimento, 646, apto 265 - Jurerê, Florianópolis - SC, 88053-500",0,1,1,0,0,3,1.00,0.00,3,Sim,22/07/2020,Ativo,Dentro do Hotel
JBV406,JBV,JR,0.1,"Alameda César Nascimento, 646, apto 406 - Jurerê, Florianópolis - SC, 88053-500",0,0,0,0,0,0,0.00,0.00,4,Sim,15/01/2020,Inativo,Dentro do Hotel
JBV452,JBV,TOP,0.1,"Alameda César Nascimento, 646, apto 452 - Jurerê, Florianópolis - SC, 88053-500",0,1,0,1,2,5,1.00,0.00,5,Sim,24/07/2020,Inativo,Dentro do Hotel
JBV455,JBV,TOP,0,"Alameda César Nascimento, 646, apto 455 - Jurerê, Florianópolis - SC, 88053-500",0,0,0,0,0,0,0.00,0.00,4,Sim,01/12/2018,Ativo,Dentro do Hotel
JBVO462,JBV,TOP,0,"Alameda César Nascimento, 646, apto 462 - Jurerê, Florianópolis - SC, 88053-500",0,0,0,0,0,0,0.00,0.00,4,Sim,01/12/2018,Inativo,Dentro do Hotel
JBV464,JBV,JR,0,"Alameda César Nascimento, 646, apto 464 - Jurerê, Florianópolis - SC, 88053-500",0,0,0,0,0,0,0.00,0.00,4,Sim,01/12/2018,Ativo,Dentro do Hotel
MDP102,JUR,SUP3Q,0.2,"R. dos Surubins, 57 Apto 102 Jurerê Florianópolis",1,2,1,0,0,6,2.00,339.00,6,Não,18/05/2020,Inativo,Apartamento
PSD101,JUR,SIM2Q,0.2,"Rua cesar Nascimento, 138, apto 101, Jurerê, Florianópolis",2,0,0,0,0,6,1.00,197.00,6,Não,01/09/2019,Ativo,Apartamento
PSD102,JUR,JR1Q,0.2,"Rua Cesar Nascimento, 138, apto 102, Jurerê, Florianópolis",2,0,0,0,0,6,1.00,247.00,6,Não,01/09/2019,Ativo,Apartamento
PSD103,JUR,JR1Q,0.2,"Rua Cesar Nascimento, 138, apto 103, Jurerê, Florianópolis",1,0,0,0,0,4,1.00,205.00,4,Não,01/09/2019,Ativo,Apartamento
PSD201,JUR,SIM2Q,0.2,"Rua Cesar Nascimento, 138, apto 201, Jurerê, Florianópolis",2,0,0,0,0,6,1.00,275.00,6,Não,01/09/2019,Ativo,Apartamento
PSD202,JUR,JR1Q,0.2,"Rua Cesar Nascimento, 138, apto 202, Jurerê, Florianópolis",1,0,0,0,0,4,1.00,198.00,4,Não,01/09/2019,Ativo,Apartamento
PSD203,JUR,JR1Q,0.2,"Rua Cesar Nascimento, 138, apto 203, Jurerê, Florianópolis",1,0,0,0,0,4,1.00,205.00,4,Não,01/09/2019,Ativo,Apartamento
PSD204,JUR,JR1Q,0.2,"Rua Cesar Nascimento, 138, apto 204, Jurerê, Florianópolis",1,0,0,0,0,4,1.00,198.00,4,Não,01/09/2019,Ativo,Apartamento
PSD205,JUR,JR1Q,0.2,"Rua Cesar Nascimento, 138, apto 205, Jurerê, Florianópolis",1,0,0,0,0,4,1.00,198.00,4,Não,01/09/2019,Ativo,Apartamento
PSD301,JUR,SIM2Q,0.2,"Rua Cesar Nascimento, 138, apto 301, Jurerê, Florianópolis",2,0,0,0,0,6,1.00,278.00,6,Não,01/09/2019,Ativo,Apartamento
REN002,JUR,TOP3Q,0.2,"Av dos Búzios, 2877 Apto 002 Jurerê Florianópolis",1,4,0,0,0,6,2.00,341.00,6,Não,01/08/2019,Inativo,Apartamento
SAB106,JUR,JR1Q,0.2,"Av das Raias, 555 Apto 106 Jurerê Florianópolis",1,0,0,0,1,3,1.00,197.00,3,Não,01/12/2019,Inativo,Apartamento
SAM001,JUR,JR1Q,0.15,"Rua Deputado Paulo Preis, 513, apto 001, Jurerê, Florianópolis",1,0,0,0,2,4,1.00,218.00,4,Não,01/09/2019,Inativo,Apartamento
SAM002,JUR,JR1Q,0.15,"Rua Deputado Paulo Preis, 513, apto 002, Jurerê, Florianópolis",1,0,0,0,2,4,1.00,218.00,4,Não,01/09/2019,Inativo,Apartamento
SAM003,JUR,JR1Q,0.15,"Rua Deputado Paulo Preis, 513, apto 003, Jurerê, Florianópolis",1,0,0,0,2,4,1.00,218.00,4,Não,01/09/2019,Inativo,Apartamento
SAM004,JUR,JR1Q,0.15,"Rua Deputado Paulo Preis, 513, apto 004, Jurerê, Florianópolis",1,0,0,0,2,4,1.00,218.00,4,Não,01/09/2019,Inativo,Apartamento
SAM005,JUR,JR1Q,0.15,"Rua Deputado Paulo Preis, 513, apto 005, Jurerê, Florianópolis",1,0,0,0,2,4,1.00,218.00,4,Não,01/12/2019,Inativo,Apartamento
SAM006,JUR,JR1Q,0.15,"Rua Deputado Paulo Preis, 513, apto 006, Jurerê, Florianópolis",1,0,0,0,2,4,1.00,218.00,4,Não,01/12/2019,Inativo,Apartamento
SAM007,JUR,JR1Q,0.15,"Rua Deputado Paulo Preis, 513, apto 007, Jurerê, Florianópolis",1,0,0,0,2,4,1.00,218.00,4,Não,01/12/2019,Inativo,Apartamento
SAM008,JUR,JR1Q,0.15,"Rua Deputado Paulo Preis, 513, apto 008, Jurerê, Florianópolis",1,0,0,0,2,4,1.00,218.00,4,Não,01/12/2019,Inativo,Apartamento
SAM009,JUR,JR1Q,0.15,"Rua Deputado Paulo Preis, 513, apto 009, Jurerê, Florianópolis",1,0,0,0,2,4,1.00,218.00,4,Não,01/12/2019,Inativo,Apartamento
SAM010,JUR,JR1Q,0.15,"Rua Deputado Paulo Preis, 513, apto 010, Jurerê, Florianópolis",1,0,0,0,2,4,1.00,218.00,4,Não,01/12/2019,Inativo,Apartamento
SAM011,JUR,JR3Q,0.15,"Rua Deputado Paulo Preis, 513, apto 011, Jurerê, Florianópolis",2,2,0,0,2,8,3.00,382.00,8,Não,01/12/2019,Inativo,Apartamento
SAM012,JUR,JR2Q,0.15,"Rua Deputado Paulo Preis, 513, apto 012, Jurerê, Florianópolis",1,4,0,0,2,8,2.00,327.00,8,Não,01/12/2019,Inativo,Apartamento
SBS106,JUR,JR1Q,0.2,"Av das Raias, 771 Apto 106 Jurerê Florianópolis",0,0,0,1,0,4,1.00,199.00,4,Não,01/11/2019,Ativo,Apartamento
SBS111,JUR,JR2Q,0.2,"Av das Raias, 771 Apto 111 Jurerê Florianópolis",2,0,0,0,0,4,2.00,230.00,4,Não,02/09/2019,Ativo,Apartamento
STO2206,STO,JR1Q,0.05,"Praia do - Estr. Ver. Onildo Lemos, 2505, torre 2, apto 206 - Santinho, Florianópolis - SC, 88058-700",0,0,0,0,0,0,0.00,0.00,4,Sim,01/03/2019,Ativo,Dentro do Hotel
THI003,JUR,SIM1Q,0.2,"Rua Professor Manoel do Lago Almeida, 372, apto 003, Jurerê",1,0,0,0,2,4,1.00,0.00,4,Não,01/08/2019,Inativo,Apartamento
THI004,JUR,SIM1Q,0.2,"Rua Professor Manoel do Lago Almeida, 372, apto 004, Jurerê",1,0,0,0,2,4,1.00,0.00,4,Não,01/08/2019,Inativo,Apartamento
VDI208,JUR,SUP2Q,0.2,"Av dos Dourados, 970 Bloco 01 Apto 208 Jurerê Florianópolis",1,1,0,0,0,6,3.00,289.00,6,Não,01/03/2019,Ativo,Apartamento
VDM104,CAN,JR1Q,0.2,"Rod Tertuliano Brito Xavier,2011 Bloco 01 Apto 104 Canasvieiras Florianópolis",1,0,0,0,2,4,1.00,0.00,4,Não,10/01/2020,Inativo,Apartamento
VDM301,CAN,SUP1Q,0.15,"Rod Tertuliano Brito Xavier,2011 Bloco 01 Apto 301 Canasvieiras Florianópolis",1,0,0,0,2,4,1.00,204.00,4,Não,01/12/2019,Inativo,Apartamento
JBM204,JUR,TOP2Q,0.2,"Rua Jornalista Haroldo Callado, número 305, CEP: 88053-600, Jurerê, Florianópolis",0,2,1,0,0,6,1.00,267.00,5,Não,09/09/2020,Inativo,Apartamento
SDO206,ING,SUP3Q,0.2,"Rua Lazaro de Oliveira Souza, número 440, Ingleses Norte, CEP: 88058-580, Florianópolis, SC",2,1,1,0,1,8,3.00,390.00,8,Não,11/09/2020,Ativo,Apartamento
SGA202,JUR,SUP3Q,0.2,"Apartamento 202, situado na Av. dos Dourados, 815, CEP: 88053-410, Florianópolis – SC.",0,2,2,0,0,6,2.00,326.00,6,Não,14/09/2020,Bloqueado,Apartamento
JBV252,JBV,TOP,0.1,"Alameda César Nascimento, 646, apto 252 - Jurerê, Florianópolis - SC, 88053-500",0,0,1,0,2,4,1.00,0.00,4,Sim,21/09/2020,Ativo,Dentro do Hotel
ILC2106,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 2, ap 106",0,0,1,0,2,4,1.00,0.00,4,Sim,23/09/2020,Ativo,Dentro do Hotel
PNO302,CAN,TOP3Q,0.2,"Tertulino brito Xavier, número 3217, apart 302, CEP: 88054-601",2,2,0,0,0,6,2.00,320.00,6,Não,30/09/2020,Inativo,Apartamento
IDP104,ING,SUP3Q,0.2,"Rua Recanto do Sol, 300, Ingleses Norte, Apto 104A",2,2,0,0,1,7,2.00,345.00,7,Não,29/09/2020,Ativo,Apartamento
ILC4213,ILC,JR,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 4, ap 213",1,0,0,0,2,4,1.00,0.00,4,Sim,05/10/2020,Ativo,Dentro do Hotel
CSP203,ING,JR3Q,0.2,"Servidão João Luís de Souto, número 210, Ingleses, Florianópolis – SC",1,2,0,0,2,6,2.00,328.00,6,Não,09/10/2020,Inativo,Apartamento
JBVO155,JBV,JR,0.1,"Alameda César Nascimento, 646, apto 155 - Jurerê, Florianópolis - SC, 88053-500",0,1,1,0,0,4,1.00,0.00,3,Sim,11/10/2020,Inativo,Dentro do Hotel
ILCO2309,ILC,TOP,0.1,"Il Campanario Village Resort - Av. dos Búzios, 1760 - Jurerê Internacional, torre 2, ap 309",0,0,1,0,0,4,1.00,0.00,4,Sim,14/10/2020,Inativo,Dentro do Hotel
JBV222,JBV,MASTER,0,"Alameda César Nascimento, 646, apto 222 - Jurerê, Florianópolis - SC, 88053-500",0,1,1,0,0,4,1.00,0.00,4,Sim,14/10/2020,Ativo,Dentro do Hotel
JBV224,JBV,JR,0,"Alameda César Nascimento, 646, apto 224 - Jurerê, Florianópolis - SC, 88053-500",0,1,1,0,0,4,1.00,0.00,3,Sim,13/10/2020,Ativo,Dentro do Hotel
CDS109,JUR,SIM2Q,0.2,"Avenida dos Salmões 844 - apartamento 109 - Jurere Internacional - FLorianópolis, CEP 88053-365",0,2,1,0,0,4,1.50,244.00,4,Não,13/10/2020,Inativo,Apartamento
JBV465,JBV,JR,0.1,"Alameda César Nascimento, 646, apto 465 - Jurerê, Florianópolis - SC, 88053-500",0,1,1,0,0,4,1.00,0.00,3,Sim,11/10/2020,Ativo,Dentro do Hotel
POR204,ING,TOP3Q,0.2,"Rua das Gaivotas, 1380, Edifício Portamar, Bairro Ingleses – CEP 88058-500 – Florianópolis / SC",1,3,1,0,0,7,3.00,345.00,7,Não,16/10/2020,Ativo,Apartamento
STI204,ING,SUP1Q,0.2,"Rua Adiles Della Giustina, 105, apto 204 - Ingleses do Rio Vermelho, Florianópolis - SC - CEP 88058-522, Florianópolis – SC",0,0,1,0,0,4,1.00,196.00,4,Não,20/10/2020,Ativo,Apartamento
STI206,ING,SUP1Q,0.2,"Rua Adiles Della Giustina, 105, apto 206 - Ingleses do Rio Vermelho, Florianópolis - SC - CEP 88058-522, Florianópolis – SC",0,0,1,0,0,4,1.00,196.00,4,Não,20/10/2020,Ativo,Apartamento
